Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros accesos,Total accesos,Mbps (Media de bajada),Accesos por cada 100 hogares,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Otras velocidades,Total velocidades
2019,4,La Rioja,13738.0,34984.0,0.0,251.0,29.0,49002.0,8.0,47.14,21.0,0.0,37846.0,5.045,4.763,22.0,1305.0,0.0,49002.0
2019,4,Mendoza,96678.0,49711.0,24989.0,13.672,730.0,185780.0,7.79,33.65,746.0,9.0,145139.0,12.955,15.237,2.165,2628.0,6.901,185780.0
2019,4,Misiones,53116.0,69676.0,847.0,441.0,11.733,135813.0,20.32,39.79,71.0,0.0,39664.0,20.84,27.305,15.626,20799.0,11.508,135813.0
2019,4,Neuquén,29826.0,60970.0,10549.0,14.246,854.0,116445.0,26.02,59.36,218.0,1.0,57370.0,4.439,7.357,12.059,35001.0,0.0,116445.0
2019,4,Río Negro,49747.0,37933.0,9658.0,11.437,18.365,127140.0,17.18,55.71,114.0,0.0,71847.0,2.797,8.558,6.968,19837.0,17.019,127140.0
2019,4,Salta,63272.0,76062.0,21865.0,3.04,8.206,172445.0,19.08,50.35,149.0,1.0,42159.0,67.656,15.369,14.17,25821.0,7.12,172445.0
2019,4,San Juan,41360.0,6338.0,4931.0,7.241,5.104,64974.0,6.04,32.85,48.0,1.0,60626.0,1.594,1.292,40.0,127.0,1.246,64974.0
2019,4,San Luis,8569.0,8027.0,6.0,55.266,36.333,108201.0,20.69,74.92,105.0,0.0,11901.0,4.164,525.0,55.216,3.0,36.287,108201.0
2019,4,Santa Cruz,13264.0,15899.0,1036.0,6.8,2.371,39370.0,5.21,36.71,67.0,0.0,32368.0,4.346,2.224,7.0,8.0,350.0,39370.0
2019,4,Santa Fe,312072.0,382254.0,27464.0,26.978,20.401,769169.0,20.55,69.48,698.0,0.0,230234.0,190.664,113.527,70.998,135576.0,27.472,769169.0
2019,4,Santiago Del Estero,24682.0,71239.0,200.0,2.81,4.657,103588.0,9.79,42.92,133.0,908.0,34911.0,56.309,3.756,105.0,2449.0,5.017,103588.0
2019,4,Tierra Del Fuego,13261.0,26821.0,0.0,0.0,310.0,40392.0,7.27,79.7,11.0,0.0,23593.0,5.05,1.848,139.0,1962.0,7.789,40392.0
2019,4,Tucumán,146985.0,11012.0,39574.0,725.0,348.0,198644.0,29.87,47.65,55.0,0.0,54544.0,52.017,28.916,6.405,56707.0,0.0,198644.0
2020,1,Buenos Aires,673237.0,2210349.0,720688.0,85.443,18.334,3708051.0,45.18,64.33,38.215,36.802,1122034.0,236.421,247.977,205.78,1802583.0,28.935,3718747.0
2020,1,Capital Federal,184494.0,1097635.0,38898.0,3.911,28.556,1353494.0,58.71,105.98,264.0,312.0,169651.0,102.254,89.665,85.899,906009.0,0.0,1354054.0
2020,1,Catamarca,21945.0,3146.0,12056.0,261.0,2.227,39635.0,29.13,37.62,63.0,0.0,8838.0,7.543,9.558,408.0,10299.0,2.151,38860.0
2020,1,Chaco,46356.0,54144.0,11958.0,6.239,1.58,120277.0,25.94,37.48,308.0,928.0,23291.0,19.976,29.851,10.416,28539.0,6.917,120226.0
2020,1,Chubut,45763.0,27287.0,1324.0,16.885,5.479,96738.0,7.12,51.27,158.0,109.0,69586.0,12.957,7.756,1.24,614.0,4.5,96920.0
2020,1,Corrientes,51126.0,53231.0,2172.0,2.437,5.004,113970.0,20.54,38.73,72.0,527.0,33479.0,21.382,26.679,7.351,19467.0,4.78,113737.0
2020,1,Córdoba,286168.0,406109.0,68512.0,41.617,8.693,811099.0,29.39,70.69,142.0,5.128,217229.0,120.188,95.827,65.733,296875.0,9.802,810924.0
2020,1,Entre Ríos,90368.0,95434.0,13245.0,18.737,14.062,231846.0,19.03,56.12,130.0,4.081,72280.0,47.132,41.125,11.988,39794.0,13.762,230292.0
2020,1,Formosa,21068.0,8887.0,1800.0,14.51,169.0,46434.0,15.7,30.23,1.127,342.0,23761.0,6.5,6.564,964.0,6918.0,100.0,46276.0
2020,1,Jujuy,32066.0,38938.0,3078.0,942.0,16.641,91665.0,14.14,46.67,55.0,182.0,33120.0,9.979,26.693,166.0,7349.0,16.545,94089.0
2020,1,La Pampa,8553.0,53755.0,13821.0,11.295,1.802,89226.0,7.29,75.77,293.0,811.0,72740.0,7.199,3.029,1.342,2113.0,1.618,89145.0
2020,1,La Rioja,13076.0,34984.0,0.0,251.0,29.0,48340.0,7.96,46.35,21.0,1.0,37209.0,5.158,4.64,22.0,1294.0,0.0,48345.0
2020,1,Mendoza,91955.0,50251.0,28059.0,12.465,722.0,183452.0,8.44,33.14,58.0,40.0,140410.0,12.285,17.489,2.86,3818.0,0.0,176960.0
2020,1,Misiones,51458.0,69452.0,1220.0,460.0,10.962,133552.0,22.15,39.02,71.0,524.0,36622.0,21.271,26.433,11.581,26313.0,10.885,133700.0
2020,1,Neuquén,29305.0,65951.0,11031.0,14.711,729.0,121727.0,27.77,61.85,218.0,327.0,60152.0,5.257,7.123,5.399,43738.0,0.0,122214.0
2020,1,Río Negro,47756.0,38479.0,10381.0,11.222,18.362,126200.0,19.06,55.12,114.0,466.0,69154.0,2.93,7.857,3.199,25488.0,17.719,126927.0
2020,1,Salta,60426.0,75593.0,23025.0,4.125,7.212,170381.0,21.43,49.6,129.0,514.0,38537.0,63.714,17.991,8.625,34744.0,6.441,170695.0
2020,1,San Juan,40092.0,6448.0,5508.0,7.082,5.101,64231.0,6.04,32.39,48.0,194.0,59787.0,1.594,1.292,40.0,127.0,4.779,67861.0
2020,1,San Luis,8301.0,7612.0,5.0,58.301,36.333,110552.0,20.99,76.31,105.0,0.0,11322.0,4.164,525.0,58.258,5.0,36.075,110454.0
2020,1,Santa Cruz,12845.0,15766.0,1026.0,6.817,2.368,38822.0,6.42,35.97,67.0,11.0,27447.0,4.993,5.169,529.0,119.0,0.0,38335.0
2020,1,Santa Fe,302366.0,383673.0,35123.0,30.488,19.468,771118.0,22.42,69.52,696.0,2.994,217553.0,196.826,104.56,48.448,173823.0,17.656,762556.0
2020,1,Santiago Del Estero,24695.0,70424.0,200.0,2.779,4.657,102755.0,10.0,42.47,133.0,1.779,33086.0,56.884,3.737,135.0,2799.0,4.501,103054.0
2020,1,Tierra Del Fuego,12854.0,25632.0,0.0,0.0,308.0,38794.0,7.41,76.07,11.0,1.0,22976.0,5.024,1.834,196.0,518.0,7.046,37606.0
2020,1,Tucumán,143184.0,10494.0,44687.0,1.355,347.0,200067.0,32.25,47.85,52.0,97.0,49555.0,50.383,31.096,1.73,67536.0,0.0,200449.0
2020,2,Buenos Aires,661272.0,2244277.0,723072.0,91.736,57.189,3777546.0,45.66,65.22,37.542,31.606,1129236.0,241.336,233.132,188.995,1894466.0,21.233,3777546.0
2020,2,Capital Federal,178896.0,1106133.0,39482.0,3.937,29.373,1357821.0,60.48,106.41,264.0,312.0,166474.0,94.585,79.858,80.16,935481.0,687.0,1357821.0
2020,2,Catamarca,26968.0,3641.0,14878.0,261.0,2.228,47976.0,34.93,45.43,63.0,0.0,8801.0,8.69,10.242,426.0,16578.0,3.176,47976.0
2020,2,Chaco,46816.0,56017.0,17266.0,6.452,1.581,128132.0,27.95,39.83,308.0,928.0,24350.0,21.14,29.044,12.082,33311.0,6.969,128132.0
2020,2,Chubut,45761.0,38279.0,1324.0,17.678,5.614,108656.0,7.61,57.34,158.0,109.0,69578.0,22.188,10.537,1.473,614.0,3.999,108656.0
2020,2,Corrientes,51248.0,55536.0,3144.0,3.927,5.011,118866.0,22.15,40.3,72.0,527.0,34242.0,22.845,25.844,7.898,22418.0,5.02,118866.0
2020,2,Córdoba,282858.0,415007.0,85818.0,44.522,8.263,836468.0,30.99,72.71,168.0,4.383,219025.0,125.932,89.53,63.216,325243.0,8.971,836468.0
2020,2,Entre Ríos,89391.0,99423.0,13954.0,20.042,11.303,234113.0,20.45,56.54,130.0,3.679,66758.0,50.64,42.09,12.856,43391.0,14.569,234113.0
2020,2,Formosa,21805.0,9353.0,1882.0,14.723,169.0,47932.0,16.87,31.14,391.0,151.0,23534.0,7.109,6.998,961.0,7475.0,1.313,47932.0
2020,2,Jujuy,32705.0,38938.0,5057.0,952.0,16.664,94316.0,15.86,47.89,55.0,182.0,30548.0,10.519,26.829,209.0,9417.0,16.557,94316.0
2020,2,La Pampa,8551.0,54422.0,14232.0,11.314,1.29,89809.0,8.03,76.1,293.0,810.0,71218.0,7.531,3.8,1.657,3377.0,1.123,89809.0
2020,2,La Rioja,16885.0,34984.0,1.0,250.0,35.0,52155.0,11.67,49.84,21.0,1.0,37375.0,5.661,4.686,73.0,4336.0,2.0,52155.0
2020,2,Mendoza,91904.0,62941.0,29613.0,15.924,802.0,201184.0,9.27,36.25,58.0,40.0,142253.0,12.439,35.274,3.248,5422.0,2.45,201184.0
2020,2,Misiones,50792.0,74497.0,2579.0,3.319,9.153,140340.0,22.56,40.89,71.0,524.0,39867.0,23.719,26.445,12.305,28763.0,8.646,140340.0
2020,2,Neuquén,30256.0,67990.0,11037.0,15.755,1.134,126172.0,29.1,63.9,218.0,327.0,61171.0,6.103,6.625,5.296,46432.0,0.0,126172.0
2020,2,Río Negro,49756.0,39650.0,10382.0,11.331,18.367,129486.0,19.68,56.37,114.0,466.0,70817.0,3.335,7.498,3.246,26953.0,17.057,129486.0
2020,2,Salta,59502.0,81740.0,24289.0,5.123,7.108,177762.0,22.56,51.58,129.0,514.0,41801.0,64.463,16.989,7.741,39594.0,6.531,177762.0
2020,2,San Juan,40092.0,8275.0,5509.0,7.019,8.882,69777.0,6.31,35.09,48.0,194.0,59113.0,917.0,4.908,40.0,127.0,4.43,69777.0
2020,2,San Luis,8401.0,8357.0,6.0,60.935,36.253,113952.0,21.02,78.41,105.0,0.0,11439.0,3.585,1.934,60.889,8.0,35.992,113952.0
2020,2,Santa Cruz,12845.0,16044.0,1027.0,6.585,2.368,38869.0,6.59,35.79,66.0,0.0,26938.0,4.166,6.541,546.0,119.0,493.0,38869.0
2020,2,Santa Fe,299974.0,381679.0,46698.0,30.487,19.094,777932.0,23.93,70.0,568.0,2.061,213054.0,198.772,96.575,57.236,189473.0,20.193,777932.0
2020,2,Santiago Del Estero,25917.0,72074.0,355.0,3.038,4.063,105447.0,10.41,43.47,133.0,1.779,32557.0,57.709,5.178,247.0,3328.0,4.516,105447.0
2020,2,Tierra Del Fuego,12854.0,26025.0,0.0,0.0,310.0,39189.0,8.13,76.37,11.0,0.0,22325.0,5.186,3.034,391.0,796.0,7.446,39189.0
